ensembl_gene_id	external_gene_name
YLR180W	SAM1
YLR183C	TOS4
YLR186W	EMG1
YLR196W	PWP1
YLR197W	NOP56
YLR214W	FRE1
YLR221C	RSA3
YLR222C	UTP13
YLR222C-A	
YLR223C	IFH1
YLR237W	THI7
YLR243W	GPN3
YLR249W	YEF3
YLR276C	DBP9
YLR287C	
YLR300W	EXG1
YLR333C	RPS25B
YLR336C	SGD1
YLR344W	RPL26A
YLR355C	ILV5
YLR363W-A	
YLR372W	ELO3
YLR384C	IKI3
YLR385C	SWC7
YLR397C	AFG2
YLR401C	DUS3
YLR405W	DUS4
YLR406C	RPL31B
YLR407W	
YLR409C	UTP21
YLR413W	INA1
YLR432W	IMD3
YLR435W	TSR2
YLR441C	RPS1A
YLR448W	RPL6B
YLR449W	FPR4
YML014W	TRM9
YML018C	
YML022W	APT1
YML026C	RPS18B
YML043C	RRN11
YML047C	PRM6
YML056C	IMD4
YML060W	OGG1
YML063W	RPS1B
YML080W	DUS1
YML082W	
YML093W	UTP14
YML096W	
YML106W	URA5
YML108W	
YML113W	DAT1
YML123C	PHO84
YML125C	PGA3
YMR006C	PLB2
YMR014W	BUD22
YMR016C	SOK2
YMR049C	ERB1
YMR076C	PDS5
YMR083W	ADH3
YMR093W	UTP15
YMR108W	ILV2
YMR120C	ADE17
YMR128W	ECM16
YMR131C	RRB1
YMR146C	TIF34
YMR185W	RTP1
YMR194W	RPL36A
YMR215W	GAS3
YMR217W	GUA1
YMR229C	RRP5
YMR239C	RNT1
YMR241W	YHM2
YMR242C	RPL20A
YMR243C	ZRC1
YMR246W	FAA4
YMR259C	TRM732
YMR269W	TMA23
YMR290C	HAS1
YMR292W	GOT1
YMR300C	ADE4
YMR301C	ATM1
YMR304C-A	
YMR305C	SCW10
YMR307C-A	
YMR307W	GAS1
YMR308C	PSE1
YMR309C	NIP1
YMR310C	
YMR312W	ELP6
YNL002C	RLP7
YNL022C	RCM1
YNL023C	FAP1
YNL024C	
YNL061W	NOP2
YNL062C	GCD10
YNL065W	AQR1
YNL066W	SUN4
YNL067W	RPL9B
YNL068C	FKH2
YNL075W	IMP4
YNL087W	TCB2
YNL095C	
YNL096C	RPS7B
YNL102W	POL1
YNL110C	NOP15
YNL111C	CYB5
YNL112W	DBP2
YNL113W	RPC19
YNL119W	NCS2
YNL124W	NAF1
YNL132W	KRE33
YNL141W	AAH1
YNL145W	MFA2
YNL146C-A	
YNL151C	RPC31
YNL162W	RPL42A
YNL162W-A	
YNL164C	IBD2
YNL175C	NOP13
YNL178W	RPS3
YNL182C	IPI3
YNL186W	UBP10
YNL207W	RIO2
YNL217W	
YNL221C	POP1
YNL227C	JJJ1
YNL240C	NAR1
YNL247W	
YNL248C	RPA49
YNL256W	FOL1
YNL282W	POP3
YNL292W	PUS4
YNL299W	TRF5
YNL300W	TOS6
YNL301C	RPL18B
YNL308C	KRI1
YNL313C	EMW1
YNR003C	RPC34
YNR009W	NRM1
YNR012W	URK1
YNR015W	SMM1
YNR017W	TIM23
YNR024W	MPP6
YNR038W	DBP6
YNR046W	TRM112
YNR053C	NOG2
YNR054C	ESF2
YNR063W	
YNR067C	DSE4
YOL010W	RCL1
YOL022C	TSR4
YOL041C	NOP12
YOL077C	BRX1
YOL080C	REX4
YOL092W	YPQ1
YOL093W	TRM10
YOL097C	WRS1
YOL109W	ZEO1
YOL121C	RPS19A
YOL124C	TRM11
YOL125W	TRM13
YOL141W	PPM2
YOL144W	NOP8
YOL152W	FRE7
YOR001W	RRP6
YOR004W	UTP23
YOR021C	SFM1
YOR048C	RAT1
YOR056C	NOB1
YOR063W	RPL3
YOR078W	BUD21
YOR091W	TMA46
YOR095C	RKI1
YOR101W	RAS1
YOR108W	LEU9
YOR116C	RPO31
YOR119C	RIO1
YOR145C	PNO1
YOR146W	
YOR188W	MSB1
YOR195W	SLK19
YOR206W	NOC2
YOR207C	RET1
YOR210W	RPB10
YOR224C	RPB8
YOR233W	KIN4
YOR234C	RPL33B
YOR236W	DFR1
YOR243C	PUS7
YOR252W	TMA16
YOR271C	FSF1
YOR272W	YTM1
YOR287C	RRP36
YOR293W	RPS10A
YOR294W	RRS1
YOR302W	
YOR309C	
YOR310C	NOP58
YOR312C	RPL20B
YOR313C	SPS4
YOR315W	SFG1
YOR335C	ALA1
YOR337W	TEA1
YOR338W	
YOR340C	RPA43
YOR341W	RPA190
YOR342C	
YOR359W	VTS1
YOR361C	PRT1
YPL012W	RRP12
YPL043W	NOP4
YPL050C	MNN9
YPL068C	
YPL081W	RPS9A
YPL082C	MOT1
YPL086C	ELP3
YPL090C	RPS6A
YPL093W	NOG1
YPL126W	NAN1
YPL146C	NOP53
YPL157W	TGS1
YPL160W	CDC60
YPL183C	RTT10
YPL198W	RPL7B
YPL207W	TYW1
YPL211W	NIP7
YPL212C	PUS1
YPL217C	BMS1
YPL226W	NEW1
YPL241C	CIN2
YPL252C	YAH1
YPL263C	KEL3
YPL266W	DIM1
YPL267W	ACM1
YPR010C	RPA135
YPR016C	TIF6
YPR035W	GLN1
YPR041W	TIF5
YPR048W	TAH18
YPR110C	RPC40
YPR112C	MRD1
YPR119W	CLB2
YPR124W	CTR1
YPR137W	RRP9
YPR143W	RRP15
YPR144C	NOC4
YPR145W	ASN1
YPR163C	TIF3
YPR187W	RPO26
YPR190C	RPC82
