id	seqName	strand	first	last	LENGTH	type	name	commonName	sense name	source	overlapXu	 wt 15' 0.4M - wt 0	hog1Δ 15' 0.4M -  hog1Δ 0	 wt 100' 1.2M - wt 0	hog1Δ 100' 1.2M -  hog1Δ 0
6932	15	-	876351	877007	656	CUTs	CUT866	CUT866		SteinmetzLab	ST6908	8.7201847993	7.6154467836	8.2024718664	2.6500826751
5093	12	-	757621	759045	1424	ORF-T	YLR312C	QNQ1		SteinmetzLab	ST6051	8.6312471255	5.4249629521	3.1725776616	1.9023311108
2258	6	-	253437	255141	1704	ORF-T	YFR052C-A, YFR053C	YFR052C-A, HXK1		SteinmetzLab	ST4737	8.6149268653	6.0237236782	4.0854582531	3.0360573608
6295	15	+	43674	44706	1032	ORF-T	YOL151W	GRE2		SteinmetzLab	ST2983	8.5647827696	-1.0648429637	8.7109894056	1.4852233681
4745	12	+	660649	663161	2512	ORF-T	YLR258W	GSY2		SteinmetzLab	ST2305	8.5172619397	5.4251027956	2.3785228448	1.5770920389
1837	5	+	291777	292641	864	ORF-T	YER067W	YER067W		SteinmetzLab	ST0897	8.4518695829	4.4231072335	4.4788998832	3.3231838163
5483	13	+	904761	905921	1160	ORF-T	YMR316W	DIA1		SteinmetzLab	ST2707	8.3771138555	4.4680908032	6.1343150349	1.4227518196
6855	15	-	667526	670590	3064	ORF-T	YOR178C	GAC1		SteinmetzLab	ST6832	8.2302675822	5.3395128357	1.8307154819	1.0345477873
1625	4	-	1212689	1213457	768	SUTs	SUT_FS0090	SUT_FS0090		FrancescLab	NA	8.2220121118	1.1243906192	5.8927056584	-1.0740971477
3275	8	-	279293	280069	776	CUTs	CUT647	CUT647		SteinmetzLab	ST5167	8.1315764167	1.8263974571	5.3766271018	1.2566714364
6970	15	-	982519	984799	2280	SUTs	SUT797	SUT797		SteinmetzLab	ST6944	8.0584270452	3.513797113	4.0119864551	1.2305754531
797	4	+	94609	95785	1176	ORF-T	YDL204W	RTN2		SteinmetzLab	ST0376	7.9602879642	2.2573863285	7.0976272726	1.1253897025
1379	4	-	408205	409837	1632	ORF-T	YDL024C, YDL022C-A	DIA3, YDL022C-A		SteinmetzLab	ST4143	7.8724122053	1.2421663494	6.2476027703	2.1134914254
1945	5	-	79549	80173	624	ORF-T	YEL039C	CYC7		SteinmetzLab	ST4510	7.8500387244	9.4737035662	7.3720004205	1.1190416533
7202	16	+	627843	629235	1392	ORF-T	YPR030W	CSR2		SteinmetzLab	ST3524	7.8412377495	4.9140708358	10.2395122105	6.4662634283
3307	8	-	378126	379886	1760	ORF-T	YHR139C	SPS100		SteinmetzLab	ST5197	7.8347732348	2.7387745676	20.9927752737	1.1890404957
2787	7	-	507359	507975	616	CUTs	CUT602	CUT602		SteinmetzLab	ST4885	7.752401233	3.5094561259	2.8474362548	1.4030399291
6652	15	-	36765	38605	1840	other	YOL153C	YOL153C		SteinmetzLab	ST6635	7.5222773808	2.2968161582	3.0928573369	1.2615498737
7541	16	-	678375	678687	312	SUTs	SUT832	SUT832		SteinmetzLab	ST7185	7.4061317422	4.6904820408	8.5463377675	1.8934791124
5731	13	-	772749	773597	848	SUTs	SUT738	SUT738	GTO3	SteinmetzLab	ST6361	7.3209362381	7.8841155955	3.1240879965	2.6004339444
2761	7	-	427191	428063	872	ORF-T	YGL037C	PNC1		SteinmetzLab	ST4860	7.2355482377	7.3896878537	7.4328084122	4.2368092902
1511	4	-	831561	831753	192	CUTs	CUT514	CUT514		SteinmetzLab	ST4271	7.1509252511	5.6257616074	3.1379737436	1.4409086605
1448	4	-	614232	616336	2104	ORF-T	YDR085C	AFR1		SteinmetzLab	ST4211	7.0802978621	3.7334057225	2.5122332976	1.4904898001
3836	10	+	643504	645104	1600	CUTs	CUT220	CUT220		SteinmetzLab	ST1888	7.0092049931	4.1763182836	2.1854442592	1.0715747738
4145	11	+	144324	145820	1496	ORF-T	YKL163W	PIR3		SteinmetzLab	ST1949	6.8987266817	3.0688829231	4.7392072612	1.3149430896
1417	4	-	542631	543567	936	ORF-T	YDR043C	NRG1		SteinmetzLab	ST4180	6.8359729254	9.0911780189	4.657883786	1.239979036
1715	4	-	1474865	1476513	1648	ORF-T	YDR516C	EMI2		SteinmetzLab	ST4463	6.5319542743	4.7771849835	4.1407315068	2.1402100992
3431	9	+	270777	272921	2144	ORF-T	YIL045W	PIG2		SteinmetzLab	ST1638	6.44249978	2.4175781699	4.379693529	1.0329374592
7127	16	+	406603	407643	1040	ORF-T	YPL079W	RPL21B		SteinmetzLab	ST3452	6.4119670222	-1.0829520651	7.3012561699	1.6425304997
5488	13	-	9269	9845	576	SUTs	SUT714	SUT714		SteinmetzLab	ST6133	6.4005659453	-1.215768905	4.3889364894	1.2161069494
4974	12	-	366541	368205	1664	ORF-T	YLR108C	YLR108C		SteinmetzLab	ST5939	6.365807347	2.1069910076	4.0596769627	1.0813500782
3675	10	+	146328	146880	552	ORF-T	YJL144W	YJL144W		SteinmetzLab	ST1739	6.3590827789	9.219398984	11.8553060341	5.2461233779
2891	7	-	808479	809527	1048	ORF-T	YGR161C	RTS3		SteinmetzLab	ST4984	6.2654521531	4.2379802556	1.9807404133	1.2260101799
3044	8	+	175498	177090	1592	ORF-T	YHR033W	YHR033W		SteinmetzLab	ST1436	6.209961939	1.2649924901	10.1733835783	1.5445447554
3660	10	+	111474	113842	2368	SUTs	SUT203	SUT203	YJL163C	SteinmetzLab	ST1725	6.111535014	1.9893283151	1.6941289892	-1.0358463935
158	2	+	241688	242792	1104	SUTs	SUT009	SUT009	RER2	SteinmetzLab	ST0102	6.089549794	2.8618912855	4.0970065259	1.6665391359
596	3	+	44641	46873	2232	SUTs	SUT_FS0010	SUT_FS0010		FrancescLab	NA	6.0461052211	-1.1852216744	2.8447611629	-1.0117319247
508	2	-	559964	560948	984	SUTs	SUT_FS0074	SUT_FS0074		FrancescLab	NA	5.6938813159	1.5248970087	9.7604167727	1.1747205318
2794	7	-	525047	525615	568	CUTs	CUT605	CUT605		SteinmetzLab	ST4892	5.6845637874	6.1437949938	4.1264703241	2.1355795933
3392	9	+	150529	151249	720	ORF-T	YIL113W	SDP1		SteinmetzLab	ST1604	5.6693298619	8.0536005578	3.0827132043	2.1358878575
489	2	-	488780	490484	1704	ORF-T	YBR126C	TPS1		SteinmetzLab	ST3824	5.5432400393	3.433356942	2.5912606597	1.4027548459
2007	5	-	262021	264141	2120	ORF-T	YER054C	GIP2		SteinmetzLab	ST4572	5.5380608532	2.8750427194	1.9561972037	-1.2011538302
4752	12	+	677913	679961	2048	ORF-T	YLR267W	BOP2		SteinmetzLab	ST2312	5.5329443939	5.6729331821	2.0419975235	1.0032044456
6492	15	+	578410	579946	1536	ORF-T	YOR134W	BAG7		SteinmetzLab	ST3172	5.52343179	1.9890557398	3.3876896119	1.161379798
2617	7	+	1004290	1006154	1864	other	tT(UGU)G2, YGR256W	tT(UGU)G2, GND2		SteinmetzLab	ST1371	5.4964127819	3.2688124578	20.4644584569	5.3701669749
3697	10	+	220488	223448	2960	ORF-T	YJL106W	IME2		SteinmetzLab	ST1761	5.4904721546	2.0273075326	3.6490671815	1.0663783358
1304	4	-	217541	218005	464	SUTs	SUT_FS0080	SUT_FS0080		FrancescLab	NA	5.4716630897	5.1076603529	7.0196155223	1.1377524792
5178	13	+	10153	11449	1296	ORF-T	YML131W	YML131W		SteinmetzLab	ST2417	5.4581065778	-1.0605852044	8.3482339802	1.7453329514
5468	13	+	852553	854545	1992	ORF-T	YMR291W	YMR291W		SteinmetzLab	ST2693	5.4327223937	4.7318283652	1.7952875137	1.4639282321
2822	7	-	620671	621799	1128	ORF-T	YGR066C	YGR066C		FrancescLab	NA	5.3756389164	-1.0200442065	13.6646315486	1.2114994256
5411	13	+	655041	658441	3400	ORF-T	YMR196W	YMR196W		SteinmetzLab	ST2639	5.3526686837	3.7934035407	2.3403378217	1.6500534123
6361	15	+	241594	242514	920	SUTs	SUT357	SUT357	YOL 47C	SteinmetzLab	ST3047	5.3027657499	1.9426033315	1.8675162968	1.1036246711
2637	7	-	18205	21821	3616	SUTs	SUT_FS0096	SUT_FS0096		FrancescLab	NA	5.2987689681	1.5882996797	1.354086095	1.0474152365
7291	16	+	861147	864067	2920	ORF-T	YPR160W, YPR160W-A	GPH1, YPR160W-A		SteinmetzLab	ST3605	5.2817489853	4.0282520644	1.5804657986	1.4408421415
7138	16	+	432539	434155	1616	ORF-T	YPL061W	ALD6		SteinmetzLab	ST3463	5.2663554961	1.4590074304	2.6501801581	1.6782998063
4754	12	+	681089	682449	1360	ORF-T	YLR270W	DCS1		SteinmetzLab	ST2314	5.2196531621	1.1903182621	4.3897712349	1.3861136736
5152	12	-	950588	953148	2560	SUTs	SUT_FS0125	SUT_FS0125		FrancescLab	NA	5.2129402839	1.9353266443	2.4290494952	-1.0857952987
2467	7	+	594859	595843	984	SUTs	SUT_FS0032	SUT_FS0032		FrancescLab	NA	5.1423445267	1.4414981124	1.2289687138	1.0550808681
206	2	+	381943	382799	856	ORF-T	YBR072W	HSP26		SteinmetzLab	ST0147	5.119330956	4.0609330467	9.2358643062	4.7832410854
7281	16	+	830859	831067	208	other	YPR150W	YPR150W		SteinmetzLab	ST3598	5.1135602556	5.034101812	4.6818571331	2.2645612705
2530	7	+	754163	755235	1072	ORF-T	YGR131W	YGR131W		SteinmetzLab	ST1291	5.1121562733	4.4300498438	3.8887924457	1.5776931671
2004	5	-	258557	259885	1328	ORF-T	YER053C	PIC2		SteinmetzLab	ST4569	5.0701716552	4.636270427	1.3660227796	1.109512304
5475	13	+	864409	864897	488	CUTs	CUT312	CUT312		SteinmetzLab	ST2699	5.058159886	3.7488916074	2.0695304773	1.0835508325
1648	4	-	1275033	1276505	1472	CUTs	CUT529	CUT529		SteinmetzLab	ST4398	5.0446296185	4.7132714398	3.2472247654	1.7075087084
2958	7	-	985622	986662	1040	SUTs	SUT_FS0101	SUT_FS0101		FrancescLab	NA	4.9758138274	4.649353866	1.9678685746	1.1879081135
2788	7	-	507975	508479	504	ORF-T	YGR008C	STF2		SteinmetzLab	ST4886	4.9536753514	4.283203951	3.297328749	1.1916265098
6514	15	+	657058	658378	1320	ORF-T	YOR173W	DCS2		SteinmetzLab	ST3194	4.9345341452	3.3147708426	5.2010630005	1.9914797927
968	4	+	616692	617476	784	SUTs	SUT_FS0019	SUT_FS0019		FrancescLab	ST0538	4.9336605492	1.5182519692	2.2223916815	1.1068512786
599	3	+	50793	52537	1744	ORF-T	YCL042W, YCL040W	YCL042W, GLK1		SteinmetzLab	ST0284	4.8872674057	7.4135213291	5.4289163837	3.2195432038
2575	7	+	884475	885075	600	CUTs	CUT160	CUT160		SteinmetzLab	ST1331	4.873280643	3.6092083809	9.0786275674	2.3720962314
269	2	+	595904	597128	1224	ORF-T	YBR183W	YPC1		SteinmetzLab	ST0205	4.8474629989	5.778073514	3.8466897038	1.9863086628
3914	10	-	147812	150676	2864	ORF-T	YJL142C, YJL141C	IRC9, YAK1		SteinmetzLab	ST5431	4.8457123891	4.2701118486	3.7964103813	2.4580243266
4412	11	-	259255	259671	416	SUTs	SUT664	SUT664		SteinmetzLab	ST5696	4.8121610772	-1.1270266599	2.2821747191	-1.0784945267
3913	10	-	144964	146036	1072	SUTs	SUT_FS0113	SUT_FS0113		FrancescLab	NA	4.8063162677	6.9898829038	9.634167513	3.1297333512
6524	15	+	682386	683618	1232	ORF-T	YOR186W	YOR186W		SteinmetzLab	ST3204	4.8060987866	3.6869604385	3.5690365345	1.8088416878
6541	15	+	755290	756298	1008	ORF-T	YOR220W	RCN2		SteinmetzLab	ST3220	4.7924797927	5.6091510519	4.5553693484	1.9684418773
5485	13	+	912457	914793	2336	SUTs	SUT322	SUT322	FET4	SteinmetzLab	ST2709	4.7698911998	2.3176686661	2.5301533066	1.3574257524
545	2	-	679380	680092	712	ORF-T	YBR230C	OM14		SteinmetzLab	ST3877	4.7407162845	3.2795868596	2.5491108215	3.5181295962
2823	7	-	622287	623527	1240	ORF-T	YGR067C	YGR067C		SteinmetzLab	ST4919	4.7093938213	-1.0620005505	-1.1419061533	-1.0871734517
1378	4	-	407405	407589	184	CUTs	CUT490	CUT490		SteinmetzLab	ST4142	4.6948948597	1.4742235137	2.5143521022	1.0894078303
973	4	+	636580	639844	3264	ORF-T	YDR096W	GIS1		SteinmetzLab	ST0542	4.6122059407	3.0979997205	1.1105802382	1.0971615044
5410	13	+	653937	654537	600	ORF-T	YMR195W	ICY1		SteinmetzLab	ST2638	4.5914366327	1.2589241971	-1.1968244766	1.1721948531
4566	12	+	88449	91433	2984	ORF-T	YLL026W	HSP104		SteinmetzLab	ST2134	4.5851112659	3.9645459306	8.1599121346	2.2102008585
3281	8	-	289053	290669	1616	SUTs	SUT584	SUT584	AHT1	SteinmetzLab	ST5173	4.5602028688	-1.0165785149	1.521380309	-1.0568828089
7020	16	+	84473	85537	1064	CUTs	CUT403	CUT403		SteinmetzLab	ST3345	4.5445593925	2.4700095138	1.9996884597	1.036669919
983	4	+	690980	691428	448	ORF-T	YDR119W-A	YDR119W-A		SteinmetzLab	ST0552	4.5416799861	3.438863601	1.815130605	1.0832526435
6219	14	-	582616	583605	989	SUTs	SUT_FS0143	SUT_FS0143		FrancescLab	NA	4.5279484233	4.6397219354	2.7516643074	1.3826552736
7286	16	+	843195	844123	928	ORF-T	YPR158W	YPR158W		SteinmetzLab	ST3602	4.5117464193	5.9116403264	7.9361196562	2.6573843571
5026	12	-	563389	564589	1200	ORF-T	YLR211C	YLR211C		SteinmetzLab	ST5991	4.4966275783	14.6249546808	4.2528887402	3.1386522505
7501	16	-	565639	567175	1536	ORF-T	YPR005C	HAL1		SteinmetzLab	ST7146	4.467822489	1.1098487028	-1.1381078512	-1.0901101734
3402	9	+	177561	179681	2120	other	YIL100W, YIL099W	YIL100W, SGA1		SteinmetzLab	ST1613	4.4500623132	4.7089807315	5.7499313657	1.8699711482
890	4	+	408313	410209	1896	SUTs	SUT_FS0017	SUT_FS0017		FrancescLab	NA	4.4134293697	1.3030090951	3.5369968827	-1.114159386
6265	14	-	727464	727792	328	other	YNRCdelta9	YNRCdelta9		SteinmetzLab	ST6610	4.4061572665	3.3095436891	1.6513520606	1.3502639397
7455	16	-	431375	431631	256	SUTs	SUT814	SUT814	TIM50	SteinmetzLab	ST7102	4.3324584352	2.5542149007	11.2235854715	1.122174079
466	2	-	418531	419267	736	ORF-T	YBR085C-A	YBR085C-A		SteinmetzLab	ST3801	4.331214537	2.5498131389	3.7449894345	1.5559370175
1442	4	-	598879	600279	1400	SUTs	SUT472	SUT472	RAD55	SteinmetzLab	ST4205	4.3260063235	2.5398257913	4.9367823943	1.4545592714
7354	16	-	128589	129229	640	ORF-T	YPL223C	GRE1		SteinmetzLab	ST7004	4.2912239523	2.0830424731	4.8314066403	1.2167054874
3900	10	-	134148	135908	1760	ORF-T	YJL153C	INO1		SteinmetzLab	ST5418	4.2684648957	7.0945829145	3.4680684676	3.0367491467
1419	4	-	547663	547799	136	CUTs	CUT495	CUT495		SteinmetzLab	ST4182	4.2339459313	1.1020473721	2.8237707917	-1.0074142802
6782	15	-	426518	427358	840	ORF-T	YOR052C	YOR052C		SteinmetzLab	ST6761	4.2316764404	2.6086732342	1.5771481895	-1.1163355086
1546	4	-	971769	974305	2536	ORF-T	YDR258C	HSP78		SteinmetzLab	ST4305	4.1799017608	3.600107147	10.3703001342	2.4841470359
6762	15	-	380182	380734	552	CUTs	CUT836	CUT836		SteinmetzLab	ST6741	4.1680414712	6.2633611294	12.8024668313	5.3502503078
3662	10	+	117138	117938	800	ORF-T	YJL161W	FMP33		SteinmetzLab	ST1727	4.1649017549	4.3562300294	4.0071283922	2.8050965205
7355	16	-	131445	131685	240	CUTs	CUT882	CUT882		SteinmetzLab	ST7005	4.1572448075	3.351682131	5.2622348532	2.0909839591
6082	14	-	121007	122215	1208	ORF-T	YNL274C	GOR1		SteinmetzLab	ST6441	4.1334214592	2.5323056095	4.1129103083	1.586325448
2999	8	+	53265	54722	1457	SUTs	SUT_FS0036	SUT_FS0036		FrancescLab	NA	4.1039053875	4.021219215	1.9977486834	1.1948331469
450	2	-	369963	370763	800	ORF-T	YBR066C	NRG2		SteinmetzLab	ST3787	4.0999724761	7.8730448464	-1.1173624802	1.0084810976
1115	4	+	1157357	1158989	1632	SUTs	SUT068	SUT068		SteinmetzLab	ST0680	4.077100638	1.960938157	1.235390472	-1.0919830152
4185	11	+	260739	261587	848	ORF-T	YKL096W	CWP1		SteinmetzLab	ST1988	4.0734111341	4.7365367771	3.173043946	3.1613965267
3094	8	+	323321	324553	1232	ORF-T	YHR104W	GRE3		SteinmetzLab	ST1485	4.0656500372	1.6751017472	2.9085990761	1.670228767
3476	9	+	387001	388449	1448	SUTs	SUT193	SUT193		SteinmetzLab	ST1681	4.0249820309	3.5420024424	1.7927904432	1.8003435519
