external_gene_name	ensembl_gene_id	Yeast_conservation	dN/dS	Multifunctionality	Disorder	PPI_degree	SM_fitness_defect	Copy_number	CAI	Nc	Co-expression_degree	Protein_length	Expression_level	Expression_variation	Num_of_domains	Num_of_unique_domains	Broad_conservation	Observed_GI_degree	Ortholog_in_other_species_common_name	Ortholog_in_other_species_systematic name
PMT2	YAL023C	23	0.0605	9	0.1568	3	-0.07	3	0.316	4.58E+01	272	759	2.7	0.4676	2	2	42	43		
LTE1	YAL024C	20	0.0881	19	0.3645	4	0.046	1	0.205	5.15E+01	75	1435	0.2	0.4443	2	2	18	104		
MAK16	YAL025C	23	0.0394	13	0.317	0	NaN	1	0.279	4.91E+01	951	306	2.5	0.7738	2	2	78	NaN	mak16	SPAC222.06
DRS2	YAL026C	23	0.0373	23	0.2347	13	NaN	1	0.284	4.72E+01	70	1355	0.7	0.4619	2	2	81	NaN	SPBC887.12	SPBC887.12
YAL027W	YAL027W	15	0.1202	5	0.1379	19	-0.003	1	0.232	5.46E+01	89	261	0.6	0.2929	1	1	0	7		
FRT2	YAL028W	10	0.183	5	0.5644	2	0.001	2	0.198	5.71E+01	586	528	0.2	0.442	1	1	0	17		
MYO4	YAL029C	23	NaN	26	0.1693	16	-0.04	2	0.247	5.20E+01	190	1471	1	0.392	3	3	15	NaN		
SNC1	YAL030W	23	NaN	12	0.4274	0	-0.031	2	0.282	5.33E+01	544	117	1.6	0.3026	1	1	34	6		
GIP4	YAL031C	19	0.1104	5	0.4329	2	-0.042	1	0.223	5.41E+01	76	760	0.4	0.4562	NaN	NaN	0	9		
PRP45	YAL032C	23	0.1081	11	0.628	24	NaN	1	0.247	5.87E+01	91	379	0.1	0.3385	1	1	74	NaN	prp45	SPCC188.11
POP5	YAL033W	22	0.1022	12	0.237	5	NaN	1	0.191	61	550	173	1.2	0.4404	1	1	30	NaN	SPCC830.09c	SPCC830.09c
MTW1	YAL034W-A	23	0.1343	14	NaN	3	NaN	1	0.18	5.58E+01	107	289	NaN	0.5021	NaN	NaN	6	NaN	mis12	SPBC409.04c
FUN12	YAL035W	23	0.0877	8	0.3852	32	NaN	1	0.406	4.08E+01	853	1002	NaN	0.5711	3	3	80	NaN	SPAC56F8.03	SPAC56F8.03
RBG1	YAL036C	23	0.0175	7	0.0759	10	0.001	1	0.27	4.31E+01	954	369	3.9	0.655	2	2	82	18	SPAC9.07c	SPAC9.07c
YAL037W	YAL037W	17	0.2097	3	0.0974	0	0.014	2	0.184	5.28E+01	0	267	0.2	0.3674	NaN	NaN	NaN	5		
CDC19	YAL038W	23	0.0959	14	0.022	21	NaN	2	0.896	2.49E+01	355	500	50.4	0.5039	2	2	74	NaN		
CYC3	YAL039C	23	0.0734	10	0.4015	1	NaN	1	0.236	5.96E+01	311	269	1.8	0.4748	1	1	63	NaN	SPBC26H8.12	SPBC26H8.12
CLN3	YAL040C	17	0.1236	16	0.2517	1	0.033	1	0.284	4.94E+01	49	580	1.1	0.4627	1	1	5	29	puc1	SPBC19F5.01c
CDC24	YAL041W	23	0.0492	21	0.3923	5	NaN	1	0.219	5.38E+01	202	854	0.4	0.2994	3	3	27	NaN	scd1	SPAC16E8.09
ERV46	YAL042W	23	0.0464	11	0.1373	6	-0.045	1	0.193	5.44E+01	172	415	3.9	0.3503	2	2	81	23	SPAC24B11.08c	SPAC24B11.08c
PTA1	YAL043C	23	0.0845	10	0.1924	22	NaN	1	0.207	5.48E+01	99	785	NaN	0.4061	1	1	27	NaN	pta1	SPAC1071.01c
GCV3	YAL044C	23	0.0444	8	0.1412	1	NaN	1	0.23	4.46E+01	65	170	10.6	0.5173	1	1	76	NaN	SPBP19A11.01	SPBP19A11.01
YAL046C	YAL046C	19	0.1889	3	0.4068	4	0.018	1	0.231	5.94E+01	44	118	0.8	0.3836	1	1	38	8	SPCC4B3.11c	SPCC4B3.11c
SPC72	YAL047C	19	0.1801	10	0.3296	6	NaN	1	0.246	5.59E+01	132	622	0.2	0.4073	1	1	0	NaN		
GEM1	YAL048C	23	0.0457	13	0.1163	2	0.096	1	0.234	5.31E+01	63	662	0.1	0.4978	4	3	74	80	SPCC320.04c	SPCC320.04c
YAL049C	YAL049C	22	0.0956	4	0.0325	1	0.003	1	0.241	5.29E+01	714	246	2.4	0.4564	1	1	34	6		
OAF1	YAL051W	11	0.0643	14	0.3534	10	-0.079	2	0.241	5.00E+01	21	1047	0.6	0.5336	1	1	0	6		
FLC2	YAL053W	23	0.0463	19	0.2401	21	0.009	4	0.252	5.35E+01	306	783	1.8	0.4768	1	1	3	16		
ACS1	YAL054C	23	0.0179	16	0.087	4	-0.052	2	0.326	4.68E+01	530	713	0.3	0.7221	3	3	13	15		
PEX22	YAL055W	20	0.2865	8	0.2611	2	0.124	1	0.174	5.22E+01	278	180	0.8	0.4558	1	1	0	71		
GPB2	YAL056W	17	0.0545	13	0.2375	0	-0.088	2	0.227	5.37E+01	93	880	0.8	0.5029	1	1	NaN	41		
CNE1	YAL058W	21	0.2272	10	0.0956	1	-0.009	1	0.25	5.65E+01	9	502	0.6	0.4934	1	1	76	42	cnx1	SPAC3C7.11c
ECM1	YAL059W	17	0.1943	7	0.533	1	-0.028	1	0.238	5.19E+01	940	212	3.4	0.6718	1	1	0	22		
BDH1	YAL060W	15	0.0621	9	0.0236	2	-0.006	1	0.286	5.18E+01	598	382	1.8	0.7843	2	2	3	11		
BDH2	YAL061W	12	0.03	11	0.0863	1	-0.072	4	0.23	5.26E+01	807	417	0.2	0.7852	2	2	1	12		
GDH3	YAL062W	22	0.0331	10	0.0066	7	-0.021	2	0.22	5.63E+01	155	457	0.2	0.6426	2	2	53	12		
FLO9	YAL063C	10	NaN	7	0.767	0	NaN	9	0.306	4.27E+01	16	1322	NaN	0.473	17	3	NaN	NaN		
YAL064W	YAL064W	1	NaN	3	0.0556	0	NaN	1	0.215	4.47E+01	4	108	NaN	0.5982	NaN	NaN	NaN	NaN		
SEO1	YAL067C	22	0.0412	4	0.2496	1	-0.02	9	0.286	4.56E+01	5	593	0.1	0.7145	1	1	3	7		
NUP60	YAR002W	21	0.199	15	0.5881	4	-0.006	1	0.205	5.10E+01	403	539	1.2	0.3049	NaN	NaN	0	75	SPCC285.13c	SPCC285.13c
SWD1	YAR003W	23	0.0522	10	0.0094	9	0.144	1	0.225	5.03E+01	98	426	1	0.3565	2	1	66	54	swd1	SPAC23H3.05c
RFA1	YAR007C	23	0.0303	25	0.2464	25	NaN	1	0.282	5.02E+01	255	621	0.9	0.5035	3	3	82	NaN	ssb1	SPBC660.13c
SEN34	YAR008W	23	0.1003	13	0.2691	0	NaN	1	0.234	5.75E+01	717	275	1.5	0.5554	1	1	35	NaN	sen34	SPBC19C7.07c
YAR009C	YAR009C	8	NaN	29	0.3253	0	NaN	42	0.257	5.00E+01	171	1196	12.8	NaN	2	2	NaN	NaN		
YAR010C	YAR010C	1	NaN	5	0.6318	14	NaN	1	0.222	5.61E+01	78	440	5.7	NaN	NaN	NaN	NaN	NaN		
BUD14	YAR014C	22	0.1624	11	0.6082	5	0.054	1	0.184	5.58E+01	89	707	0.9	0.5974	1	1	4	56	tea4	SPBC1706.01
ADE1	YAR015W	23	0.0378	11	0.0425	1	0.019	1	0.291	4.75E+01	195	306	4.3	0.6488	1	1	52	21	ade7	SPBC409.10
KIN3	YAR018C	23	0.0338	8	0.2943	1	0.038	1	0.249	5.18E+01	19	435	0.7	0.5077	1	1	58	21	fin1	SPAC19E9.02
CDC15	YAR019C	23	0.1334	20	0.232	2	NaN	1	0.227	5.74E+01	93	974	0.2	0.4744	1	1	22	NaN		
PAU7	YAR020C	1	NaN	6	0.1818	0	-0.006	1	0.493	3.41E+01	27	55	6.1	0.5537	1	1	NaN	8		
YAR023C	YAR023C	3	0.4762	5	0.0838	0	-0.026	1	0.28	5.69E+01	274	179	0.2	0.4956	1	1	0	8		
UIP3	YAR027W	3	NaN	7	0.1915	26	-0.105	1	0.211	5.53E+01	722	235	1.3	0.5684	1	1	NaN	15		
YAR028W	YAR028W	4	0.5643	5	0.2564	3	-0.029	1	0.203	4.61E+01	68	234	0.3	0.5213	1	1	NaN	9		
YAR029W	YAR029W	1	NaN	5	0.3108	0	0.077	1	0.194	5.44E+01	8	74	0.1	0.5952	1	1	NaN	77		
PRM9	YAR031W	2	NaN	6	0.2181	2	-0.016	1	0.209	5.89E+01	236	298	0.1	0.5424	1	1	NaN	3		
MST28	YAR033W	1	0.4912	9	0.2179	3	NaN	1	0.219	5.93E+01	135	234	0.6	0.4661	1	1	NaN	NaN		
YAT1	YAR035W	19	0.0609	11	0.0728	2	-0.026	1	0.236	4.35E+01	26	687	0.2	0.454	1	1	62	3		
SWH1	YAR042W	23	0.0587	20	0.3443	18	0.015	3	0.262	5.41E+01	30	1188	0.4	0.4622	NaN	NaN	50	13		
FLO1	YAR050W	10	0.4287	9	0.8237	0	-0.061	9	0.323	4.27E+01	14	1537	0.2	0.4952	19	2	0	19		
YAR061W	YAR061W	NaN	NaN	3	0.1045	0	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN		
YAR062W	YAR062W	NaN	NaN	4	0.1313	1	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	2	2	NaN	NaN		
YAR064W	YAR064W	1	NaN	5	0.3939	0	NaN	1	0.19	5.34E+01	5	99	NaN	0.4348	NaN	NaN	NaN	NaN		
YAR068W	YAR068W	1	NaN	3	0.0311	0	NaN	1	0.115	4.64E+01	4	161	0.4	0.6387	NaN	NaN	NaN	NaN		
PHO11	YAR071W	17	0.1172	4	0.0214	5	NaN	5	0.398	4.12E+01	231	467	0.4	0.8592	1	1	16	NaN		
ECM15	YBL001C	14	0.0242	4	0.0385	1	-0.02	1	0.302	4.49E+01	222	104	5.6	0.3285	1	1	6	14		
HTB2	YBL002W	23	0.0316	9	0.4046	39	NaN	2	0.591	3.33E+01	519	131	8.4	0.7467	1	1	35	NaN		
HTA2	YBL003C	23	0.0084	9	0.4167	104	-0.009	2	0.567	3.16E+01	498	132	24.5	0.7129	1	1	73	8		
UTP20	YBL004W	23	0.0704	15	0.1472	28	NaN	1	0.237	4.92E+01	647	2493	1.3	0.5488	1	1	68	NaN	utp20	SPBC56F2.04
PDR3	YBL005W	18	0.0882	14	0.3207	1	-0.009	2	0.242	4.94E+01	20	976	0.3	0.5873	2	2	NaN	11		
LDB7	YBL006C	9	0.1158	10	0.35	1	NaN	1	0.151	5.72E+01	54	180	3	0.3529	1	1	0	NaN		
SLA1	YBL007C	23	0.0743	24	0.7122	24	0.214	1	0.276	4.76E+01	332	1244	2.9	0.4143	4	2	17	131	shd1	SPAC16E8.01
HIR1	YBL008W	23	0.0683	13	0.0488	2	0.015	2	0.213	5.09E+01	225	840	0.3	0.455	7	3	41	51	hip1	SPBC31F10.13c
ALK2	YBL009W	16	0.1361	11	0.3654	0	-0.017	2	0.223	5.28E+01	726	676	0.3	0.6259	1	1	11	6		
YBL010C	YBL010C	19	0.1868	5	0.2857	2	-0.038	1	0.246	5.64E+01	144	280	0.2	0.4031	NaN	NaN	0	10		
SCT1	YBL011W	23	0.0673	11	0.2675	3	0.001	2	0.274	5.35E+01	78	759	1	0.3684	1	1	18	32	SPBC1718.04	SPBC1718.04
FMT1	YBL013W	21	0.1877	9	0.0499	0	-0.016	1	0.215	5.88E+01	14	401	NaN	0.5448	2	2	50	36	fmt1	SPAC1805.09c
RRN6	YBL014C	22	0.1563	11	0.2136	2	NaN	1	0.228	5.47E+01	641	894	0.6	0.4594	1	1	1	NaN		
ACH1	YBL015W	23	0.0073	9	0.0779	0	-0.034	1	0.293	4.77E+01	750	526	0.9	0.7454	2	2	30	33	SPAC1952.09c	SPAC1952.09c
FUS3	YBL016W	23	0.0266	27	0.0878	6	NaN	2	0.222	5.86E+01	62	353	1	0.5387	1	1	65	NaN		
PEP1	YBL017C	23	0.1387	13	0.0646	24	0.055	5	0.226	4.99E+01	131	1579	1.3	0.5392	NaN	NaN	24	55		
POP8	YBL018C	20	0.1747	10	0.0526	1	NaN	1	0.273	5.04E+01	706	133	1	0.5787	NaN	NaN	0	NaN	pop8	SPBC1709.20
APN2	YBL019W	23	0.1332	13	0.2346	2	-0.063	1	0.209	4.91E+01	118	520	0.2	0.4179	2	2	54	16	apn2	SPBC3D6.10
RFT1	YBL020W	23	0.064	12	0.1429	9	NaN	1	0.227	5.45E+01	393	574	1	0.4226	1	1	71	NaN	rft1	SPBC887.19
HAP3	YBL021C	23	0.0261	9	0.5069	3	0.205	1	0.225	61	117	144	0.7	0.4049	1	1	66	64	php3	SPAC23C11.08
PIM1	YBL022C	23	0.0485	12	0.2348	3	NaN	1	0.286	5.09E+01	433	1133	2.4	0.5091	3	3	77	NaN	lon1	SPAC22F3.06c
MCM2	YBL023C	23	0.0181	29	0.182	9	NaN	1	0.28	4.69E+01	236	868	0.3	0.3882	2	2	84	NaN	mcm2	SPBC4.04c
NCL1	YBL024W	23	0.0379	9	0.1681	4	-0.029	1	0.339	4.13E+01	1098	684	1.5	0.6503	2	1	80	31		
RRN10	YBL025W	21	0.0659	8	0.1586	1	NaN	1	0.229	4.84E+01	93	145	0.7	0.3047	1	1	0	NaN		
LSM2	YBL026W	23	NaN	14	0.1263	27	NaN	2	0.283	4.12E+01	453	95	2	0.4169	1	1	65	NaN	lsm2	SPCC1620.01c
RPL19B	YBL027W	20	NaN	6	0.4021	0	0.261	2	0.713	2.84E+01	797	189	23.6	0.6951	NaN	NaN	82	47		
YBL028C	YBL028C	22	0.1216	6	0.8491	1	-0.034	1	0.302	4.59E+01	1017	106	0.8	0.7703	1	1	2	NaN	SPBC32H8.05	SPBC32H8.05
YBL029W	YBL029W	18	0.1048	4	0.3564	0	-0.027	1	0.183	5.06E+01	9	376	0.3	0.4035	NaN	NaN	0	7		
PET9	YBL030C	23	0.0661	19	0.2453	2	NaN	4	0.561	3.20E+01	197	318	14.3	0.546	3	1	41	NaN		
SHE1	YBL031W	10	0.1717	13	0.5503	0	0.07	1	0.228	5.26E+01	116	338	0.1	0.4459	NaN	NaN	0	71		
HEK2	YBL032W	20	0.0598	5	0.4147	28	-0.022	1	0.24	5.15E+01	443	381	1.2	0.5691	3	1	16	8		
RIB1	YBL033C	23	0.058	11	0.1507	6	NaN	1	0.192	5.49E+01	284	345	1.6	0.4414	1	1	14	NaN	SPAP27G11.09c	SPAP27G11.09c
STU1	YBL034C	23	0.1087	17	0.2617	1	NaN	1	0.237	5.24E+01	161	1513	0.6	0.471	1	1	5	NaN		
POL12	YBL035C	23	0.0572	9	0.2539	13	NaN	1	0.224	5.09E+01	788	705	0.8	0.5851	2	2	67	NaN	spb70	SPCC553.09c
YBL036C	YBL036C	23	0.1119	3	0.0856	2	0.003	1	0.283	4.33E+01	738	257	1.8	0.3139	1	1	81	27	SPAC644.09	SPAC644.09
APL3	YBL037W	23	0.059	12	0.1649	7	0.015	1	0.22	5.20E+01	193	1025	0.3	0.3626	2	2	78	21	apl3	SPBC691.03c
MRPL16	YBL038W	23	0.0427	10	0.1638	25	NaN	1	0.245	5.09E+01	544	232	1.9	0.368	1	1	21	NaN	mrpl16	SPBC1105.03c
URA7	YBL039C	23	0.0317	13	0.0432	50	0.043	2	0.354	4.23E+01	982	579	6.6	0.8531	2	2	58	58		
ERD2	YBL040C	22	0.3363	12	0.0091	0	NaN	1	0.287	5.19E+01	219	219	3.7	0.3599	1	1	83	NaN	erd2	SPBP8B7.22
PRE7	YBL041W	21	0.0167	11	0.029	15	NaN	1	0.232	4.84E+01	362	241	4	0.35	1	1	82	NaN	pam1	SPAC22F8.06
FUI1	YBL042C	22	0.078	9	0.1221	13	0.041	6	0.277	5.17E+01	374	639	2.5	0.6735	1	1	0	12		
ECM13	YBL043W	9	0.2421	4	0.4241	2	-0.035	2	0.244	61	158	257	0.3	0.7458	NaN	NaN	2	6		
YBL044W	YBL044W	1	NaN	3	0.2951	1	NaN	1	0.202	61	9	122	NaN	0.63	NaN	NaN	NaN	NaN		
COR1	YBL045C	23	0.0621	19	0.1335	3	NaN	2	0.38	4.17E+01	562	457	2.8	0.704	2	2	0	NaN		
PSY4	YBL046W	11	0.1399	5	0.6236	7	-0.074	1	0.213	5.71E+01	176	441	0.6	0.2972	1	1	9	3		
EDE1	YBL047C	23	0.0345	11	0.8074	6	0.058	1	0.278	4.82E+01	449	1381	0.8	0.471	2	2	61	55	SPBC800.10c	SPBC800.10c
MOH1	YBL049W	19	0.0139	3	0.0072	0	0.008	1	0.27	5.66E+01	744	138	0.2	0.6141	1	1	75	4	SPAPJ691.02	SPAPJ691.02
SEC17	YBL050W	22	0.0144	14	0.1507	0	NaN	1	0.224	4.94E+01	666	292	1.7	0.4189	NaN	NaN	83	NaN	sec17	SPAC959.02
PIN4	YBL051C	23	0.0751	6	0.7021	6	0.094	1	0.26	4.70E+01	134	668	0.8	0.4595	1	1	13	78	cip2	SPAC12G12.03
SAS3	YBL052C	23	0.1655	13	0.5126	5	-0.01	1	0.229	4.98E+01	915	831	0.7	0.4569	1	1	11	12	mst2	SPAC17G8.13c
YBL054W	YBL054W	17	0.1208	6	0.4667	3	-0.044	2	0.221	5.09E+01	632	525	1.2	0.716	1	1	NaN	15		
YBL055C	YBL055C	23	0.1145	7	0.0407	2	-0.006	1	0.211	5.38E+01	139	418	1	0.4445	1	1	80	24	SPBC17A3.08	SPBC17A3.08
PTC3	YBL056W	23	0.0376	11	0.3483	6	-0.008	2	0.263	4.78E+01	293	468	1.8	0.3414	1	1	33	8		
PTH2	YBL057C	23	0.1039	7	0.2056	2	-0.071	1	0.217	5.39E+01	297	214	1.5	0.3558	1	1	78	4	SPAC19A8.14	SPAC19A8.14
SHP1	YBL058W	22	0.1162	8	0.5603	14	NaN	1	0.228	5.18E+01	579	423	2.8	0.4296	2	2	69	NaN	ubx3	SPAC343.09
YBL059W	YBL059W	18	0.2288	5	0.1865	1	0.022	2	0.198	5.63E+01	259	193	0.4	0.4581	NaN	NaN	0	34		
YBL060W	YBL060W	23	0.1799	9	0.3086	4	-0.031	2	0.229	5.72E+01	331	687	0.2	0.4336	1	1	1	17	SPAC11E3.11c	SPAC11E3.11c
SKT5	YBL061C	22	0.0553	13	0.4253	10	-0.039	3	0.178	5.05E+01	339	696	1.5	0.3464	7	1	15	48		
KIP1	YBL063W	23	0.1196	20	0.4329	1	-0.023	4	0.246	5.45E+01	113	1111	0.3	0.4539	1	1	79	4	cut7	SPAC25G10.07c
PRX1	YBL064C	20	0.0164	9	0.0996	0	-0.029	1	0.281	5.14E+01	1092	261	1.9	0.8889	2	2	70	14		
SEF1	YBL066C	18	0.0663	11	0.3902	0	0.032	2	0.218	5.02E+01	22	1148	0.2	0.4962	2	2	3	21		
UBP13	YBL067C	23	0.1286	8	0.4123	3	-0.007	2	0.222	4.62E+01	34	747	0.6	0.5263	1	1	29	24		
PRS4	YBL068W	23	0.0135	14	0.0795	3	0.006	5	0.32	4.45E+01	979	327	2.8	0.5874	2	2	57	7		
AST1	YBL069W	11	0.045	9	0.1072	1	0.029	2	0.27	5.25E+01	110	429	0.6	0.4818	2	2	14	3		
RPS8A	YBL072C	23	0.0268	9	0.34	38	0.435	2	0.741	2.84E+01	804	200	53.7	0.7358	NaN	NaN	85	110		
AAR2	YBL074C	17	0.1083	7	0.1324	7	NaN	1	0.262	5.53E+01	66	355	NaN	0.4591	1	1	37	NaN		
SSA3	YBL075C	13	0.0187	9	0.1325	18	-0.031	9	0.232	4.48E+01	437	649	0.2	0.6944	1	1	13	8		
ILS1	YBL076C	23	0.0354	13	0.056	8	NaN	1	0.391	3.95E+01	744	1072	5.8	0.6022	2	2	84	NaN	irs1	SPBC8D2.06
ATG8	YBL078C	20	0.0045	19	0.1966	5	0.116	1	0.229	4.84E+01	1003	117	0.8	0.7663	1	1	81	90	atg8	SPBP8B7.24c
NUP170	YBL079W	23	0.0576	25	0.1558	3	NaN	2	0.243	5.15E+01	330	1502	1.1	0.3722	2	2	60	NaN		
PET112	YBL080C	23	0.1	9	0.0388	0	NaN	1	0.235	5.67E+01	203	541	0.2	0.4842	2	2	61	NaN	SPAC343.13	SPAC343.13
YBL081W	YBL081W	10	0.2137	3	0.4185	2	0.01	1	0.26	5.42E+01	401	368	1.3	0.3801	NaN	NaN	0	29		
ALG3	YBL082C	22	NaN	11	0.107	2	0.022	1	0.222	5.60E+01	183	458	0.6	0.5428	1	1	66	37	alg3	SPAC7D4.06c
CDC27	YBL084C	23	0.0648	16	0.2968	14	NaN	1	0.196	5.10E+01	86	758	0.4	0.6471	5	3	62	NaN	nuc2	SPAC17C9.01c
BOI1	YBL085W	23	0.0761	10	0.7061	1	-0.044	2	0.199	5.12E+01	130	980	1.5	0.5199	3	3	11	21		
YBL086C	YBL086C	22	0.0803	3	0.427	2	0.002	1	0.181	4.94E+01	355	466	0.3	0.6941	1	1	2	2	SPCC1494.08c	SPCC1494.08c
RPL23A	YBL087C	22	0.0119	6	0.1241	24	0.126	2	0.641	3.12E+01	824	137	54.2	0.6741	NaN	NaN	81	33		
TEL1	YBL088C	23	0.0979	18	0.0883	0	-0.027	1	0.214	5.18E+01	35	2787	0.3	0.5245	3	3	7	20	tel1	SPCC23B6.03c
AVT5	YBL089W	23	NaN	7	0.0719	0	-0.025	3	0.207	5.65E+01	23	459	0.3	0.2591	1	1	17	92		
MRP21	YBL090W	22	0.1165	8	0.435	6	NaN	1	0.214	5.88E+01	396	177	1.1	0.4431	1	1	0	NaN	mrp21	SPBC839.09c
MAP2	YBL091C	22	0.0301	9	0.0998	1	0.007	1	0.313	4.94E+01	138	421	3.5	0.3477	1	1	84	12	fma2	SPBC14C8.03
RPL32	YBL092W	19	0.1361	6	0.1538	0	NaN	1	0.824	2.86E+01	706	130	37	0.6501	1	1	81	NaN		
ROX3	YBL093C	18	0.0534	8	0.4409	20	NaN	1	0.203	4.93E+01	200	220	1.7	0.4052	1	1	0	NaN		
YBL095W	YBL095W	21	0.1426	5	0.0778	0	-0.028	2	0.221	5.59E+01	133	270	0.6	0.3074	1	1	5	30	SPAPB2B4.06	SPAPB2B4.06
BRN1	YBL097W	23	0.1228	11	0.3846	6	NaN	1	0.231	5.12E+01	25	754	NaN	0.4185	1	1	65	NaN	cnd2	SPCC306.03c
BNA4	YBL098W	17	0.077	8	0.0087	0	-0.002	1	0.247	5.14E+01	39	460	0.4	0.5236	1	1	71	6		
ATP1	YBL099W	23	0.0274	26	0.1046	3	NaN	1	0.49	3.55E+01	259	545	3.4	0.6061	3	3	78	NaN	atp1	SPAC14C4.14
ECM21	YBL101C	17	0.0905	6	0.4503	2	0.012	2	0.208	5.24E+01	729	1117	0.8	0.4721	1	1	1	19		
SFT2	YBL102W	21	0.0411	8	0.2977	27	-0.003	1	0.201	5.40E+01	266	215	2.6	0.4077	1	1	61	37	sft2	SPAC1527.02
RTG3	YBL103C	12	0.0858	10	0.6255	2	0.272	1	0.223	4.69E+01	220	486	0.2	0.3515	1	1	16	40		
YBL104C	YBL104C	23	0.0294	3	0.1869	4	0.082	1	0.245	5.09E+01	215	1038	0.7	0.4466	NaN	NaN	50	43	SPAC12G12.01c	SPAC12G12.01c
PKC1	YBL105C	23	0.0432	27	0.4761	7	NaN	1	0.256	5.10E+01	277	1151	0.4	0.4193	7	5	62	NaN	pck2	SPBC12D12.04c
SRO77	YBL106C	23	0.0396	4	0.1307	2	0.012	2	0.21	5.21E+01	48	1010	0.3	0.4742	1	1	36	6		
YBL107C	YBL107C	20	0.1384	3	0.2245	0	-0.021	1	0.185	5.27E+01	147	196	0.8	0.5573	1	1	2	11		
NTH2	YBR001C	23	0.0283	8	0.1359	5	-0.005	2	0.213	4.90E+01	1002	780	0.4	0.6337	2	2	35	24		
RER2	YBR002C	23	0.0448	9	0.1119	9	NaN	2	0.196	5.63E+01	389	286	1.3	0.4074	1	1	79	NaN	SPAC4D7.04c	SPAC4D7.04c
COQ1	YBR003W	23	0.0402	10	0.1015	0	NaN	1	0.24	5.16E+01	283	473	0.8	0.7472	1	1	78	NaN	dps1	SPBPJ4664.01
GPI18	YBR004C	22	0.1072	13	0.0046	3	NaN	1	0.233	5.01E+01	36	433	1.1	0.3449	1	1	58	NaN	gpi18	SPAC18B11.05
RCR1	YBR005W	23	0.2179	8	0.3052	0	-0.026	2	0.168	5.63E+01	316	213	0.9	0.5138	1	1	0	17		
UGA2	YBR006W	23	0.025	7	0.0382	5	-0.014	1	0.263	4.58E+01	928	497	NaN	0.7806	1	1	70	16	SPAC1002.12c	SPAC1002.12c
