ensembl_gene	associated_gene_name	salt_HeLa
ENSG00000271895	AL109811.2	unresponsive
ENSG00000116649	SRM	unresponsive
ENSG00000171824	EXOSC10	unresponsive
ENSG00000226849	AL109811.1	unresponsive
ENSG00000230337	EXOSC10-AS1	unresponsive
ENSG00000198793	MTOR	unresponsive
ENSG00000225602	MTOR-AS1	unresponsive
ENSG00000171819	ANGPTL7	unresponsive
ENSG00000120942	UBIAD1	unresponsive
ENSG00000238199	UBE2V2P3	unresponsive
ENSG00000204624	DISP3	unresponsive
ENSG00000235643	LINC01647	upregulated
ENSG00000116661	FBXO2	unresponsive
ENSG00000132879	FBXO44	unresponsive
ENSG00000116663	FBXO6	unresponsive
ENSG00000116670	MAD2L2	unresponsive
ENSG00000177674	AGTRAP	unresponsive
ENSG00000215910	C1orf167	unresponsive
ENSG00000177000	MTHFR	unresponsive
ENSG00000011021	CLCN6	unresponsive
ENSG00000242349	NA	unresponsive
ENSG00000175206	NPPA	unresponsive
ENSG00000120937	NPPB	unresponsive
ENSG00000199347	RNU5E-1	unresponsive
ENSG00000116685	KIAA2013	unresponsive
ENSG00000083444	PLOD1	unresponsive
ENSG00000116688	MFN2	unresponsive
ENSG00000116691	MIIP	upregulated
ENSG00000120949	TNFRSF8	unresponsive
ENSG00000028137	TNFRSF1B	unresponsive
ENSG00000048707	VPS13D	unresponsive
ENSG00000239149	SNORA59A	unresponsive
ENSG00000162496	DHRS3	unresponsive
ENSG00000272482	AC254633.1	unresponsive
ENSG00000162494	LRRC38	unresponsive
ENSG00000259961	AL354712.1	unresponsive
ENSG00000116731	PRDM2	unresponsive
ENSG00000189337	KAZN	unresponsive
ENSG00000175147	TMEM51-AS1	upregulated
ENSG00000171729	TMEM51	unresponsive
ENSG00000142621	FHAD1	unresponsive
ENSG00000233485	AL031283.2	unresponsive
ENSG00000228140	AL031283.1	unresponsive
ENSG00000142634	EFHD2	unresponsive
ENSG00000162438	CTRC	unresponsive
ENSG00000215704	CELA2B	unresponsive
ENSG00000132906	CASP9	unresponsive
ENSG00000116138	DNAJC16	unresponsive
ENSG00000272510	AL121992.3	unresponsive
ENSG00000116771	AGMAT	unresponsive
ENSG00000237301	AL121992.1	unresponsive
ENSG00000197312	DDI2	unresponsive
ENSG00000116786	PLEKHM2	unresponsive
ENSG00000237938	AL450998.2	unresponsive
ENSG00000162461	SLC25A34	unresponsive
ENSG00000224459	SLC25A34-AS1	unresponsive
ENSG00000162458	FBLIM1	unresponsive
ENSG00000224321	RPL12P14	unresponsive
ENSG00000233954	UQCRHL	unresponsive
ENSG00000179743	FLJ37453	unresponsive
ENSG00000065526	SPEN	unresponsive
ENSG00000116809	ZBTB17	unresponsive
ENSG00000183888	SRARP	upregulated
ENSG00000233078	AL355994.3	unresponsive
ENSG00000173641	HSPB7	unresponsive
ENSG00000186510	CLCNKA	unresponsive
ENSG00000232456	AL355994.2	unresponsive
ENSG00000184908	CLCNKB	unresponsive
ENSG00000185519	FAM131C	unresponsive
ENSG00000142627	EPHA2	unresponsive
ENSG00000227959	AL451042.2	unresponsive
ENSG00000224621	AL451042.1	unresponsive
ENSG00000234166	ARHGEF19-AS1	unresponsive
ENSG00000142632	ARHGEF19	unresponsive
ENSG00000237276	ANO7L1	unresponsive
ENSG00000132881	CPLANE2	unresponsive
ENSG00000233929	MT1XP1	unresponsive
ENSG00000037637	FBXO42	unresponsive
ENSG00000055070	SZRD1	unresponsive
ENSG00000226457	RPL22P3	unresponsive
ENSG00000187144	SPATA21	unresponsive
ENSG00000157191	NECAP2	unresponsive
ENSG00000226029	LINC01772	unresponsive
ENSG00000080947	CROCCP3	unresponsive
ENSG00000206652	RNU1-1	upregulated
ENSG00000261135	AL137802.2	unresponsive
ENSG00000224174	AL137802.1	unresponsive
ENSG00000233421	LINC01783	unresponsive
ENSG00000219481	NBPF1	unresponsive
ENSG00000215908	CROCCP2	unresponsive
ENSG00000186301	MST1P2	unresponsive
ENSG00000282143	AL137798.2	unresponsive
ENSG00000207513	RNU1-3	upregulated
ENSG00000268869	ESPNP	unresponsive
ENSG00000282740	AL021920.3	unresponsive
ENSG00000058453	CROCC	unresponsive
ENSG00000227684	CROCCP4	unresponsive
ENSG00000207389	RNU1-4	upregulated
ENSG00000186715	MST1L	unresponsive
ENSG00000228549	BX284668.2	unresponsive
ENSG00000238142	BX284668.5	unresponsive
ENSG00000235241	BX284668.4	unresponsive
ENSG00000207005	RNU1-2	unresponsive
ENSG00000272426	BX284668.6	unresponsive
ENSG00000117122	MFAP2	unresponsive
ENSG00000226526	AL049569.1	unresponsive
ENSG00000159363	ATP13A2	unresponsive
ENSG00000117118	SDHB	unresponsive
ENSG00000117115	PADI2	unresponsive
ENSG00000204362	AL590644.1	downregulated
ENSG00000282843	AL590644.3	unresponsive
ENSG00000142623	PADI1	unresponsive
ENSG00000142619	PADI3	unresponsive
ENSG00000159339	PADI4	unresponsive
ENSG00000227751	AC004824.1	unresponsive
ENSG00000179051	RCC2	unresponsive
ENSG00000074964	ARHGEF10L	unresponsive
ENSG00000236648	AL136529.1	upregulated
ENSG00000117148	ACTL8	unresponsive
ENSG00000159423	ALDH4A1	unresponsive
ENSG00000169991	IFFO2	unresponsive
ENSG00000272084	AL137127.1	unresponsive
ENSG00000127481	UBR4	unresponsive
ENSG00000230424	EMC1-AS1	unresponsive
ENSG00000127463	EMC1	unresponsive
ENSG00000053372	MRTO4	unresponsive
ENSG00000211454	AKR7L	unresponsive
ENSG00000162482	AKR7A3	unresponsive
ENSG00000270728	AL035413.1	unresponsive
ENSG00000053371	AKR7A2	unresponsive
ENSG00000200403	RNU6-1099P	unresponsive
ENSG00000040487	PQLC2	unresponsive
ENSG00000077549	CAPZB	unresponsive
ENSG00000173436	MINOS1	unresponsive
ENSG00000226396	AL031727.1	downregulated
ENSG00000158747	NBL1	unresponsive
ENSG00000158748	HTR6	unresponsive
ENSG00000162542	TMCO4	unresponsive
ENSG00000169914	OTUD3	unresponsive
ENSG00000162545	CAMK2N1	unresponsive
ENSG00000090432	MUL1	unresponsive
ENSG00000183114	FAM43B	unresponsive
ENSG00000158825	CDA	unresponsive
ENSG00000158828	PINK1	unresponsive
ENSG00000117242	PINK1-AS	unresponsive
ENSG00000244038	DDOST	unresponsive
ENSG00000117245	KIF17	unresponsive
ENSG00000189410	SH2D5	unresponsive
ENSG00000233069	AL663074.1	unresponsive
ENSG00000127483	HP1BP3	unresponsive
ENSG00000075151	EIF4G3	unresponsive
ENSG00000117298	ECE1	unresponsive
ENSG00000236936	AL031005.1	unresponsive
ENSG00000231105	AL031728.1	unresponsive
ENSG00000227001	NBPF2P	unresponsive
ENSG00000187952	HS6ST1P1	unresponsive
ENSG00000142794	NBPF3	unresponsive
ENSG00000162551	ALPL	unresponsive
ENSG00000233431	LINC02596	unresponsive
ENSG00000076864	RAP1GAP	unresponsive
ENSG00000090686	USP48	unresponsive
ENSG00000187942	LDLRAD2	upregulated
ENSG00000142798	HSPG2	unresponsive
ENSG00000228397	LINC01635	unresponsive
ENSG00000218510	LINC00339	unresponsive
ENSG00000070831	CDC42	unresponsive
ENSG00000271840	NA	unresponsive
ENSG00000162552	WNT4	unresponsive
ENSG00000184677	ZBTB40	unresponsive
ENSG00000237200	ZBTB40-IT1	unresponsive
ENSG00000070886	EPHA8	unresponsive
ENSG00000133216	EPHB2	unresponsive
ENSG00000264014	MIR4253	unresponsive
ENSG00000227868	TEX46	unresponsive
ENSG00000004487	KDM1A	unresponsive
ENSG00000240553	AL031428.1	unresponsive
ENSG00000169641	LUZP1	unresponsive
ENSG00000179546	HTR1D	unresponsive
ENSG00000261326	LINC01355	downregulated
ENSG00000125944	HNRNPR	unresponsive
ENSG00000125945	ZNF436	unresponsive
ENSG00000249087	ZNF436-AS1	unresponsive
ENSG00000204219	TCEA3	unresponsive
ENSG00000088280	ASAP3	unresponsive
ENSG00000007968	E2F2	unresponsive
ENSG00000235052	AL021154.1	unresponsive
ENSG00000117318	ID3	unresponsive
ENSG00000197880	MDS2	unresponsive
ENSG00000142676	RPL11	unresponsive
ENSG00000011007	ELOA	unresponsive
ENSG00000236810	ELOA-AS1	unresponsive
ENSG00000057757	PITHD1	unresponsive
ENSG00000011009	LYPLA2	unresponsive
ENSG00000117308	GALE	unresponsive
ENSG00000117305	HMGCL	unresponsive
ENSG00000179163	FUCA1	unresponsive
ENSG00000230228	AL590609.2	unresponsive
ENSG00000189266	PNRC2	unresponsive
ENSG00000188529	SRSF10	unresponsive
ENSG00000225315	AL591178.1	unresponsive
ENSG00000142661	MYOM3	unresponsive
ENSG00000142677	IL22RA1	unresponsive
ENSG00000185436	IFNLR1	unresponsive
ENSG00000232298	AL138902.1	unresponsive
ENSG00000158055	GRHL3	unresponsive
ENSG00000001460	STPG1	unresponsive
ENSG00000001461	NIPAL3	unresponsive
ENSG00000117602	RCAN3	unresponsive
ENSG00000264443	AL445686.2	unresponsive
ENSG00000133226	SRRM1	unresponsive
ENSG00000169504	CLIC4	unresponsive
ENSG00000020633	RUNX3	unresponsive
ENSG00000229162	AL445471.1	unresponsive
ENSG00000233755	AL050344.1	unresponsive
ENSG00000117614	SYF2	unresponsive
ENSG00000117616	RSRP1	upregulated
ENSG00000272432	AL031432.3	unresponsive
ENSG00000261349	AL031432.2	unresponsive
ENSG00000187010	RHD	unresponsive
ENSG00000224183	SDHDP6	unresponsive
ENSG00000259984	AL928711.1	unresponsive
ENSG00000183726	TMEM50A	unresponsive
ENSG00000188672	RHCE	unresponsive
ENSG00000238084	AL031284.1	unresponsive
ENSG00000204178	MACO1	unresponsive
ENSG00000157978	LDLRAP1	unresponsive
ENSG00000225643	AL606491.1	unresponsive
ENSG00000117643	MAN1C1	unresponsive
ENSG00000162430	SELENON	unresponsive
ENSG00000228172	AL020996.1	unresponsive
ENSG00000117640	MTFR1L	unresponsive
ENSG00000127423	AUNIP	unresponsive
ENSG00000236528	AL033528.2	unresponsive
ENSG00000182749	PAQR7	unresponsive
ENSG00000117632	STMN1	unresponsive
ENSG00000158006	PAFAH2	unresponsive
ENSG00000158008	EXTL1	unresponsive
ENSG00000175087	PDIK1L	unresponsive
ENSG00000197245	FAM110D	unresponsive
ENSG00000236782	AL391650.1	unresponsive
ENSG00000142684	ZNF593	unresponsive
ENSG00000142675	CNKSR1	unresponsive
ENSG00000130695	CEP85	unresponsive
ENSG00000270733	AL355877.2	unresponsive
ENSG00000142669	SH3BGRL3	unresponsive
ENSG00000158062	UBXN11	unresponsive
ENSG00000176092	CRYBG2	unresponsive
ENSG00000117682	DHDDS	unresponsive
ENSG00000225891	AL513365.2	unresponsive
ENSG00000198830	HMGN2	unresponsive
ENSG00000117676	RPS6KA1	unresponsive
ENSG00000260063	AL512408.1	unresponsive
ENSG00000117713	ARID1A	unresponsive
ENSG00000060642	PIGV	unresponsive
ENSG00000204160	ZDHHC18	unresponsive
ENSG00000175793	SFN	unresponsive
ENSG00000226698	AL034380.1	unresponsive
ENSG00000142751	GPN2	unresponsive
ENSG00000198746	GPATCH3	unresponsive
ENSG00000090273	NUDC	unresponsive
ENSG00000131910	NR0B2	unresponsive
ENSG00000172746	RPL12P13	unresponsive
ENSG00000253368	TRNP1	unresponsive
ENSG00000158246	TENT5B	upregulated
ENSG00000280403	NA	unresponsive
ENSG00000090020	SLC9A1	unresponsive
ENSG00000225159	NPM1P39	unresponsive
ENSG00000142784	WDTC1	unresponsive
ENSG00000186501	TMEM222	unresponsive
ENSG00000241547	ACTG1P20	unresponsive
ENSG00000142765	SYTL1	unresponsive
ENSG00000142733	MAP3K6	unresponsive
ENSG00000142748	FCN3	unresponsive
ENSG00000174950	CD164L2	unresponsive
ENSG00000181773	GPR3	unresponsive
ENSG00000158195	WASF2	unresponsive
ENSG00000237429	BX293535.1	unresponsive
ENSG00000126705	AHDC1	unresponsive
ENSG00000126709	IFI6	unresponsive
ENSG00000009780	FAM76A	unresponsive
ENSG00000231344	AL020997.1	unresponsive
ENSG00000117758	STX12	unresponsive
ENSG00000270031	AL020997.3	unresponsive
ENSG00000117751	PPP1R8	unresponsive
ENSG00000252947	SCARNA1	unresponsive
ENSG00000278868	NA	unresponsive
ENSG00000130775	THEMIS2	upregulated
ENSG00000117748	RPA2	unresponsive
ENSG00000130768	SMPDL3B	unresponsive
ENSG00000227050	AL512288.1	unresponsive
ENSG00000158156	XKR8	unresponsive
ENSG00000158161	EYA3	unresponsive
ENSG00000228589	SPCS2P4	unresponsive
ENSG00000169403	PTAFR	upregulated
ENSG00000126698	DNAJC8	unresponsive
ENSG00000130770	ATP5IF1	unresponsive
ENSG00000270605	AL353622.1	downregulated
ENSG00000130766	SESN2	unresponsive
ENSG00000130772	MED18	unresponsive
ENSG00000204138	PHACTR4	unresponsive
ENSG00000180198	RCC1	unresponsive
ENSG00000242125	SNHG3	unresponsive
ENSG00000200087	SNORA73B	downregulated
ENSG00000231468	PRDX3P2	unresponsive
ENSG00000279443	AL513497.1	unresponsive
ENSG00000180098	TRNAU1AP	unresponsive
ENSG00000197989	SNHG12	unresponsive
ENSG00000221539	SNORD99	upregulated
ENSG00000120656	TAF12	unresponsive
ENSG00000188060	RAB42	unresponsive
ENSG00000229388	LINC01715	unresponsive
ENSG00000162419	GMEB1	unresponsive
ENSG00000198492	YTHDF2	unresponsive
ENSG00000116329	OPRD1	unresponsive
ENSG00000233427	AL009181.1	unresponsive
ENSG00000159023	EPB41	unresponsive
ENSG00000253304	TMEM200B	unresponsive
ENSG00000116350	SRSF4	unresponsive
ENSG00000116353	MECR	unresponsive
ENSG00000237934	AL590729.1	unresponsive
ENSG00000060656	PTPRU	unresponsive
ENSG00000162510	MATN1	unresponsive
ENSG00000186056	MATN1-AS1	unresponsive
ENSG00000162511	LAPTM5	unresponsive
ENSG00000223382	LINC01778	unresponsive
ENSG00000162512	SDC3	unresponsive
ENSG00000134644	PUM1	unresponsive
ENSG00000084628	NKAIN1	unresponsive
ENSG00000060688	SNRNP40	unresponsive
ENSG00000229447	AC114495.2	unresponsive
ENSG00000121766	ZCCHC17	unresponsive
ENSG00000229044	AL451070.1	unresponsive
ENSG00000121769	FABP3	unresponsive
ENSG00000168528	SERINC2	unresponsive
ENSG00000229167	AC114488.1	unresponsive
ENSG00000142910	TINAGL1	unresponsive
ENSG00000121764	HCRTR1	unresponsive
ENSG00000162517	PEF1	unresponsive
ENSG00000235790	AC114488.2	unresponsive
ENSG00000084636	COL16A1	unresponsive
ENSG00000121753	ADGRB2	unresponsive
ENSG00000254545	AL354919.2	unresponsive
ENSG00000134668	SPOCD1	unresponsive
ENSG00000203620	AL354919.1	unresponsive
ENSG00000184007	PTP4A2	unresponsive
ENSG00000121774	KHDRBS1	unresponsive
ENSG00000203325	AL445248.1	unresponsive
ENSG00000121775	TMEM39B	unresponsive
ENSG00000025800	KPNA6	unresponsive
ENSG00000084652	TXLNA	downregulated
ENSG00000160050	CCDC28B	unresponsive
ENSG00000224066	AL049795.1	unresponsive
ENSG00000160051	IQCC	unresponsive
ENSG00000222046	DCDC2B	unresponsive
ENSG00000160055	TMEM234	unresponsive
ENSG00000084623	EIF3I	unresponsive
ENSG00000220785	MTMR9LP	unresponsive
ENSG00000183615	FAM167B	unresponsive
ENSG00000182866	LCK	upregulated
ENSG00000116478	HDAC1	unresponsive
ENSG00000175130	MARCKSL1	unresponsive
ENSG00000162526	TSSK3	downregulated
ENSG00000225828	FAM229A	downregulated
ENSG00000160058	BSDC1	unresponsive
ENSG00000273274	ZBTB8B	unresponsive
ENSG00000160062	ZBTB8A	unresponsive
ENSG00000176261	ZBTB8OS	unresponsive
ENSG00000162521	RBBP4	unresponsive
ENSG00000162520	SYNC	unresponsive
ENSG00000224409	AC114489.1	unresponsive
ENSG00000162522	KIAA1522	unresponsive
ENSG00000134684	YARS	unresponsive
ENSG00000116497	S100PBP	unresponsive
ENSG00000160097	FNDC5	unresponsive
ENSG00000121905	HPCA	unresponsive
ENSG00000121900	TMEM54	unresponsive
ENSG00000116514	RNF19B	unresponsive
ENSG00000278966	AL031602.1	unresponsive
ENSG00000236065	AL020995.1	unresponsive
ENSG00000004455	AK2	unresponsive
ENSG00000142920	AZIN2	unresponsive
ENSG00000278997	AL662907.1	unresponsive
ENSG00000116525	TRIM62	unresponsive
ENSG00000279179	AL662907.2	unresponsive
ENSG00000160094	ZNF362	unresponsive
ENSG00000270115	AL513327.3	unresponsive
ENSG00000184389	A3GALT2	unresponsive
ENSG00000225313	AL513327.1	unresponsive
ENSG00000134686	PHC2	unresponsive
ENSG00000222112	RN7SKP16	unresponsive
ENSG00000233246	AL513327.2	unresponsive
ENSG00000121903	ZSCAN20	unresponsive
ENSG00000163866	SMIM12	unresponsive
ENSG00000189280	GJB5	unresponsive
ENSG00000188910	GJB3	downregulated
ENSG00000230163	AL122010.1	downregulated
ENSG00000116544	DLGAP3	unresponsive
ENSG00000241014	AC114490.1	unresponsive
ENSG00000163867	ZMYM6	unresponsive
ENSG00000197056	ZMYM1	unresponsive
ENSG00000116560	SFPQ	unresponsive
ENSG00000146463	ZMYM4	unresponsive
ENSG00000227409	ZMYM4-AS1	unresponsive
ENSG00000142687	KIAA0319L	unresponsive
ENSG00000020129	NCDN	unresponsive
ENSG00000239636	AC004865.2	unresponsive
ENSG00000116819	TFAP2E	upregulated
ENSG00000126067	PSMB2	unresponsive
ENSG00000142686	C1orf216	unresponsive
ENSG00000092853	CLSPN	unresponsive
ENSG00000232335	AL354864.1	unresponsive
ENSG00000134698	AGO4	unresponsive
ENSG00000092847	AGO1	unresponsive
ENSG00000271914	AL139286.2	unresponsive
ENSG00000126070	AGO3	unresponsive
ENSG00000271554	AL138787.2	unresponsive
ENSG00000232862	AL138787.1	unresponsive
ENSG00000092850	TEKT2	unresponsive
ENSG00000116863	ADPRHL2	unresponsive
ENSG00000171812	COL8A2	unresponsive
ENSG00000054116	TRAPPC3	unresponsive
ENSG00000116871	MAP7D1	unresponsive
ENSG00000054118	THRAP3	unresponsive
ENSG00000214193	SH3D21	unresponsive
ENSG00000142694	EVA1B	unresponsive
ENSG00000116883	AL591845.1	unresponsive
ENSG00000196182	STK40	downregulated
ENSG00000181817	LSM10	unresponsive
ENSG00000116885	OSCP1	unresponsive
ENSG00000116898	MRPS15	unresponsive
ENSG00000233621	LINC01137	unresponsive
ENSG00000163874	ZC3H12A	upregulated
ENSG00000163875	MEAF6	unresponsive
ENSG00000263675	MIR5581	unresponsive
ENSG00000163877	SNIP1	unresponsive
ENSG00000237749	AL034379.1	unresponsive
ENSG00000163879	DNALI1	upregulated
